test_name task_name gold_standard_file coverage model model_configuration metric score_value
vectors_200_cosine_2_3 Regression AAUP 0.21041666666666667 KNN K=3 root_mean_squared_error 63.97126658577042
vectors_200_cosine_2_3 Regression AAUP 0.21041666666666667 M5 - root_mean_squared_error 105.84400045617872
vectors_200_cosine_2_3 Regression Forbes 0.16277602523659307 LR - root_mean_squared_error 143.75405941705318
vectors_200_cosine_2_3 Regression Forbes 0.16277602523659307 KNN K=3 root_mean_squared_error 54.722145376014716
vectors_200_cosine_2_3 Regression Forbes 0.16277602523659307 M5 - root_mean_squared_error 82.56491634776539
vectors_200_cosine_2_4 DocumentSimilarity LP50 0.5799373040752351 with_weights - pearson_score 0.582788587078552
vectors_200_cosine_2_4 DocumentSimilarity LP50 0.5799373040752351 with_weights - spearman_score 0.393059304159769
vectors_200_cosine_2_4 DocumentSimilarity LP50 0.5799373040752351 with_weights - harmonic_mean 0.4694798821948929
vectors_200_cosine_2_4 DocumentSimilarity LP50 0.5799373040752351 without_weights - pearson_score 0.437290451618089
vectors_200_cosine_2_4 DocumentSimilarity LP50 0.5799373040752351 without_weights - spearman_score 0.317591292699129
vectors_200_cosine_2_4 DocumentSimilarity LP50 0.5799373040752351 without_weights - harmonic_mean 0.367950717737888
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 NB - accuracy 0.7698571428571429
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 KNN K=3 accuracy 0.7039047619047619
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 C45 - accuracy 0.5478333333333333
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 SVM C=0.001 accuracy 0.4977857142857145
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 SVM C=0.01 accuracy 0.4977857142857145
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 SVM C=0.1 accuracy 0.4977857142857145
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 SVM C=1.0 accuracy 0.7824285714285714
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 SVM C=10.0 accuracy 0.7856666666666667
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 SVM C=100 accuracy 0.7856666666666667
vectors_200_cosine_2_5 Classification Cities 0.9858490566037736 SVM C=1000 accuracy 0.7856666666666667
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 NB - accuracy 0.5950223772159257
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 KNN K=3 accuracy 0.6436280151118859
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 C45 - accuracy 0.5858956698634119
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 SVM C=0.001 accuracy 0.5075617553036909
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 SVM C=0.01 accuracy 0.5075617553036909
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 SVM C=0.1 accuracy 0.66855943039814
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 SVM C=1.0 accuracy 0.7254283638477188
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 SVM C=10.0 accuracy 0.7077183958151699
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 SVM C=100 accuracy 0.6726768381284511
vectors_200_cosine_2_5 Classification MetacriticMovies 0.9259999999999999 SVM C=1000 accuracy 0.6543234524847429
vectors_200_cosine_2_5 Classification MetacriticAlbums 0.454375 NB - accuracy 0.6517085235920852
vectors_200_cosine_2_5 Classification MetacriticAlbums 0.454375 KNN K=3 accuracy 0.6702949010654489
vectors_200_cosine_2_5 Classification MetacriticAlbums 0.454375 C45 - accuracy 0.6007648401826483
vectors_200_cosine_2_5 Classification MetacriticAlbums 0.454375 SVM C=0.001 accuracy 0.6244863013698632
vectors_200_cosine_2_5 Classification MetacriticAlbums 0.454375 SVM C=0.01 accuracy 0.6244863013698632
vectors_200_cosine_2_5 Classification MetacriticAlbums 0.454375 SVM C=0.1 accuracy 0.6244863013698632
